activity,query,relatedToActivity,time
Outdoor walk ,How long do I need to run three times per week to achieve the November challenge ,Yes,During
preparing to sleep,what helps me get better sleep?,Yes,Before
waking up,why am I sleeping bad lately?,Yes,After
Having breakfast ,How can I increase my VO2 Max,No,
having lunch,what is the impact of my sleep in my running?,No,
Watching a video ,Have I stood up this hour ,No,
having breakfast ,compare my running stats with the same time last year,No,
Weight lifting ,Am I in the right heart rate range for this type of work out ,Yes,During
Outdoor walk ,How does my walking pace change depending on the length of a walk ,Yes,During
Walking outside ,How long does it take after a walk to get back to resting heart rate ,Yes,After
Weightlifting ,Is my work out better at my home gym or commercial gym ,Yes,After
Weightlifting ,Does weightlifting focussing on different muscle groups affect my heart rate,Yes,After
Stationary bike ,How long does it take for my heart to reach optimum heart rate during a cycling work out ,Yes,During
Sitting,How much lower is my activity today because it's Friday,Yes,During
Working out,Compare the heart rate of this work out to last work out ,Yes,After
Waking up and going to the gym,What workout do I have planned for today ,Yes,Before
Laundry ,"How many kilometers do I need to walk to get 10,000 steps ",No,
Making lunch ,What was my best kilometer during my run ,No,
Driving ,What was my fastest kilometer in my run ,No,
Driving ,When was the last time I did a full 5K ,No,
Driving passenger ,Show me a graph of my 5 km outdoor runs over time ,No,
Just out of the shower ,How many steps did I get during my dance workout today ,No,
Just out of the shower ,Show me a history of all my dance workouts ,No,
Going for a walk ,"How long should I walk to get 10,000 steps today ",Yes,Before
Watching TV ,When should I be expecting my period ,No,
Dance workout ,"How many more steps do I need to get to 10,000 ",Yes,Before
Getting ready to go for a walk ,Give me a 2 km walk route starting from home ,Yes,Before
Back from walk ,How many steps did I get during that 2 km walk ,Yes,After
End of work out ,How many calories did I burn that work out ,Yes,After
Just getting off the treadmill ,How many steps am I at today ,Yes,After
On a zoom meeting ,How many calories have I eaten today ,No,
Dance workout ,How many active minutes am I at ,Yes,During
Eating lunch ,How many steps have I taken today ,No,
Walking ,What's my average walking pace per kilometer ,Yes,During
Eating supper ,How many minutes of aerobic activity would it take me to burn 200 cal? ,No,
Working out ,What's my daily calories burned this week? ,Yes,After
Going for a walk ,What's the fastest that I walked 2 km outdoors? ,Yes,Before
Walking ,Show me a graph of my average walking speed during outdoor walk ,Yes,After
Waking up ,How many hours of deep sleep did I get last night? ,Yes,After
Waking up ,Show me a graph of my sleep quality from last night ,Yes,After
Eating breakfast ,What's my blood oxygen level when I'm sleeping? ,No,
At the park ,What's my average steps per day? ,Yes,During
Eating supper ,What are my calories burned on weekends versus weekdays? ,No,
Working out,Compare max heart rate from this work out to Monday's work out.,Yes,After
Work out ,What are average calories burned for HIIT work out? ,Yes,After
Working out ,What are my average non-active calories burned per day? ,Yes,After
Work out ,Alert me when my heart rate gets back to my average resting heartbeat ,Yes,After
I am at work,How long on average does it take me to fall asleep?,No,
Working,How much time do I spend sitting on average Monday to Friday?,Yes,During
Working,What's my average calories burned in the morning versus afternoon versus evening?,No,
Playing with kids.,What was my calories burned in the last 30 minutes?,Yes,During
Working at my desk ,How many calories have a burned since 8 AM? ,No,
Walking ,What is my average walking pace? ,Yes,After
Walking ,Compare walking pace September and October ,Yes,After
Sitting at my desk ,What is my blood sugar at ,No,
Going to the gym ,Do I need to eat something before I go to the gym ,Yes,Before
Walking home from the gym ,Should I stop trying for linear growth based on my last workout ,Yes,After
Sitting home ,What are the factors most likely impeding my squat growth ,No,
Sitting on my desk ,Based on my current biometrics when will be the best time for me to work out today ,No,
Dead lifting ,How many reps was my last set ,Yes,During
Walking to the gym ,What's the best exercise for me today ,Yes,Before
Squat ,What was my RpE perceived exertion ,Yes,During
Walking home ,What is my projected one rep maximum ,No,
Sitting at home ,About how long will it take me to reach my squat deadlifts and benchpress goals ,No,
Watching TV ,How many calories did I just eat ,No,
Sitting around being tired,Is my cycle affecting my sleep,Yes,During
Trying to sleep,Compare data points from nutrition and heartrate and sleep,No,
Nothing,Compare cycle data from today to the same day in my last cycle,No,
Reviewing the days activities,Compare data points from different types of activity,Yes,After
Reviewing the day of activity,Compare data points across different activities within a cycle of a specific number of days,Yes,After
Thinking about what to make for dinner ,What is the recommended calorie intake for dinner today ,Yes,Before
Just got home relaxing ,Was the 1st km of my hike faster than the last kilometre today ,No,
Walking home from the gym ,How many calories did I burn playing badminton today ,Yes,After
Walking home from the gym ,Show me my heart rate chart from today's gym session ,Yes,After
Walking ,How many steps did I do yesterday versus today ,Yes,During
Weighing myself ,Show me my weight loss trends in the past month ,Yes,During
Thinking about what to make for breakfast ,What is my calorie budget for today ,Yes,Before
Reflecting on my fitness journey and today's goals ,How many calories were burned in today's work out compared to yesterday ,No,
Walking home from the gym ,On average was my heart rate lower during today's run compared to yesterday ,Yes,After
Eating a banana ,How many calories is in a medium size banana ,Yes,During
Doing homework ,How many steps should I take today and is it less than yesterday ,No,
Weighing myself ,Show me my bodyweight trends for this month ,Yes,During
Journalling ,What was my average heart rate during weight training today ,No,
Journalling ,How many calories over budget am I today ,No,
Just got home relaxing now ,How fast did I finish my 1st km on my hike today ,No,
